PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.053 uM,Activity at 0.263 uM,Activity at 1.320 uM,Activity at 6.580 uM,Activity at 32.90 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
81,14725784,864201,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000527602-01,,Activator,8.9125,81.7159,,Partial curve; partial efficacy,-5.05,2.7202,0.9991,75.3807,-6.3352,2.2,0 0 0 0,73.3132,,-5.0663,-7.3356,18.2856,73.3132,QC'd by Asinex Ltd.
82,14725799,844228,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000527574-01,,Activator,22.3872,111.972,,Partial curve; high efficacy,-4.65,4.9549,0.9995,131.919,19.947,2.1,0 0 0 0,117.575,,21.0946,19.7131,18.6352,117.575,QC'd by Asinex Ltd.
83,14725949,3228248,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000527805-01,,Activator,17.7828,113.108,,Partial curve; high efficacy,-4.75,4.5045,0.9905,122.689,9.5803,2.1,0 0 0 0,116.183,,3.4733,16.1813,10.7042,116.183,QC'd by Asinex Ltd.
84,14725966,672375,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000527817-01,,Activator,12.5893,178.279,,Partial curve; high efficacy,-4.9,2.9523,0.9807,179.266,0.9872,2.1,0 0 0 0,168.801,,-13.6189,14.3728,24.7866,168.801,QC'd by Asinex Ltd.
85,14726383,3155772,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000528370-01,,Activator,12.5893,155.052,,Partial curve; high efficacy,-4.9,2.3531,0.9913,157.305,2.2536,2.1,0 0 0 0,143.265,,-4.9136,10.9481,28.1769,143.265,QC'd by Asinex Ltd.
86,14726388,3155783,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000528371-01,,Activator,12.5893,307.313,,Partial curve; high efficacy,-4.9,1.8579,0.994,305.92,-1.3934,2.1,0 0 0 0,261.47,,-13.7766,13.933,70.3358,261.47,QC'd by Asinex Ltd.
87,14726427,3155762,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000528366-01,,Activator,11.2202,59.8342,,Partial curve; partial efficacy,-4.95,2.9523,0.9999,63.4724,3.6382,2.2,0 0 0,61.0804,,,3.8442,13.5866,61.0804,QC'd by Asinex Ltd.
88,14727096,1092821,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000529324-01,,Activator,10,81.3054,,Partial curve; partial efficacy,-5,3.2475,0.9973,75.4826,-5.8229,2.2,0 0 0 0,73.8695,,-7.7035,-2.9307,10.3191,73.8695,QC'd by DPISMR
89,14727275,1096383,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000529609-01,,Activator,10,94.103,,Partial curve; high efficacy,-5,3.5722,0.9998,93.9508,-0.1522,2.1,0 0 0 0,92.6536,,-0.6822,0.6925,17.0737,92.6536,QC'd by Asinex Ltd.
90,14727336,4177420,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000547848-01,,Activator,14.1254,70.4328,,Partial curve; partial efficacy,-4.85,2.5884,0.9104,74.7709,4.3381,2.2,0 0 0 0,67.5232,,-5.4286,17.4206,12.3351,67.5232,QC'd by Specs
91,14727345,4464785,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000547862-01,,Activator,10,79.9105,,Partial curve; high efficacy,-5,4.9549,0.9998,81.4117,1.5012,2.1,0 0 0 0,81.0129,,1.0247,2.1752,10.5336,81.0129,QC'd by Specs
92,14727379,843881,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000547844-01,,Activator,10,64.4091,,Partial curve; partial efficacy,-5,2.7202,0.9654,66.7872,2.3781,2.2,0 0 0 0,64.3617,,9.0113,-4.3231,18.2087,64.3617,QC'd by Specs
93,14727413,135473430,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000549961-01,,Activator,6.3096,194.546,,Partial curve; high efficacy,-5.2,1.6604,0.9976,189.3,-5.2461,2.1,0 0 0 0,175.278,,0.4079,3.4854,94.5955,175.278,QC'd by Specs
94,14727446,135473431,Active,57,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000549956-01,,Activator,3.5481,332.719,,Partial curve; high efficacy,-5.45,2.5334,1,347.733,15.0138,2.1,0 0 0 1,16.198,,16.7988,39.7905,289.777,16.198,QC'd by Specs
95,14727525,4062821,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000550030-01,,Activator,14.1254,196.789,,Partial curve; high efficacy,-4.85,4.5045,0.9938,207.906,11.1163,2.1,0 0 0 0,203.829,,1.7143,20.0716,17.9012,203.829,QC'd by Specs
96,14727616,1226683,Active,58,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000549913-01,,Activator,3.5481,371.44,,Partial curve; high efficacy,-5.45,3.9295,1,385.121,13.6811,2.1,0 0 0 1,6.965,,12.5966,21.4546,354.623,6.965,QC'd by Specs
97,14727943,135473444,Active,89,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000549865-01,,Activator,3.5481,184.89,,Complete curve; high efficacy,-5.45,2.8473,1,195.06,10.1695,1.1,0 0 0 0,194.671,,9.7701,21.1003,168.445,194.671,QC'd by Specs
98,14728115,9774488,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000550515-01,,Activator,11.2202,83.042,,Partial curve; partial efficacy,-4.95,2.6384,0.9999,83.711,0.669,2.2,0 0 0 0,79.1233,,0.9429,0.8131,16.6212,79.1233,QC'd by Specs
99,14728409,830665,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000549454-01,,Activator,15.8489,402.014,,Partial curve; high efficacy,-4.8,4.5045,0.9995,407.902,5.8878,2.1,0 0 0 0,392.969,,11.2449,0.4504,13.7955,392.969,QC'd by Specs
100,14728431,5080495,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000550437-01,,Activator,10,95.8272,,Partial curve; high efficacy,-5,4.9549,0.9988,96.9544,1.1272,2.1,0 0 0 0,96.7608,,3.3941,-0.536,11.7877,96.7608,QC'd by Specs
101,14728854,9549917,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000438989-01,,Activator,10,68.9397,,Partial curve; partial efficacy,-5,3.99,0.9999,67.782,-1.1577,2.2,0 0 0 0,66.98,,-1.0744,-1.5075,9.8672,66.98,QC'd by Scott E Schaus - Boston Univ. - MLI CMLD
102,14729497,6884713,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000552705-01,,Activator,11.2202,83.4368,,Partial curve; high efficacy,-4.95,4.095,0.9987,81.2662,-2.1706,2.1,0 0 0 0,80.2958,,-0.5063,-3.9546,5.7572,80.2958,QC'd by InterBioScreen
103,14729563,9550008,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000552490-01,,Activator,14.1254,65.0585,,Partial curve; partial efficacy,-4.85,4.5045,1,69.181,4.1226,2.2,0 0 0,67.9789,,,4.2045,6.16,67.9789,QC'd by DPISMR
104,14729611,3769494,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000552550-01,,Activator,3.5481,130.614,,Partial curve; high efficacy,-5.45,2.3031,1,128.625,-1.9885,2.1,0 0 0 1,-8.0374,,-1.6571,10.2398,103.065,-8.0374,QC'd by DPISMR
105,14729716,9616533,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000554178-01,,Activator,17.7828,95.4287,,Partial curve; high efficacy,-4.75,4.095,0.9051,103.6,8.1715,2.1,0 0 0 0,96.462,,-1.2941,29.5396,9.7463,96.462,QC'd by InterBioScreen
106,14730783,5737363,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000594047-01,,Activator,22.3872,82.7058,,Partial curve; high efficacy,-4.65,4.9549,0.9979,96.3736,13.6678,2.1,0 0 0 0,85.8945,,12.6541,15.9896,12.539,85.8945,QC'd by ChemBridge
107,14731512,23664089,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000535303-01,,Activator,11.2202,59.699,,Partial curve; partial efficacy,-4.95,3.99,0.9906,64.9545,5.2555,2.2,0 0 0 0,64.3939,,8.7276,1.9494,11.151,64.3939,QC'd by DPISMR
108,14732959,3508287,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000521603-01,,Activator,19.9526,175.487,,Partial curve; high efficacy,-4.7,4.9549,1,184.412,8.9252,2.1,0 0 0 0,170.752,,9.5026,8.476,9.2336,170.752,QC'd by DPISMR
109,14733036,9550364,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000520263-01,,Activator,3.9811,126.598,,Partial curve; high efficacy,-5.4,0.8,0.9812,106.067,-20.5316,2.1,0 0 0 0,93.0409,,-10.2252,21.2109,49.4634,93.0409,QC'd by Chem Div
110,14734554,75037,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000532639-01,,Activator,2.8184,93.7177,,Partial curve; high efficacy,-5.55,3.0654,1,91.634,-2.0836,2.1,0 0 0 1,5.5777,,-2.3474,6.4286,85.3203,5.5777,QC'd by ChemBridge
111,14735270,54705756,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000521244-01,,Activator,10,115.338,,Partial curve; high efficacy,-5,3.99,1,114.335,-1.0032,2.1,0 0 0 0,113.427,,-1.1028,-1.3141,17.1738,113.427,QC'd by DPISMR
112,14736067,2207202,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000537839-01,,Activator,10,84.7607,,Partial curve; high efficacy,-5,2.4064,0.9928,87.2338,2.4731,2.1,0 0 0 0,83.0561,,6.5297,-0.5548,24.1793,83.0561,QC'd by DPISMR
113,14736522,797378,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000534109-01,,Activator,2.8184,114.476,,Partial curve; high efficacy,-5.55,3.132,1,114.198,-0.2786,2.1,0 0 0 1,-7.411,,-0.2322,9.2274,106.927,-7.411,QC'd by ChemBridge
114,14736623,934904,Active,55,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000531241-01,,Activator,3.9811,318.44,,Partial curve; high efficacy,-5.4,4.9549,0.9998,327.303,8.8637,2.1,0 0 0 1,15.7178,,11.5728,7.6011,303.059,15.7178,QC'd by DPISMR
115,14737227,4999481,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000522853-01,,Activator,11.2202,67.5914,,Partial curve; partial efficacy,-4.95,3.2975,1,63.9303,-3.6611,2.2,0 0 0 0,62.1448,,-3.8051,-3.5942,6.4471,62.1448,QC'd by Chem Div
116,14737784,5058847,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000519703-01,,Activator,12.5893,147.15,,Partial curve; high efficacy,-4.9,4.095,0.9994,145.332,-1.8185,2.1,0 0 0 0,142.482,,0.429,-3.9561,7.7069,142.482,QC'd by Chem Div
117,14739532,1254960,Active,84,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000531564-01,,Activator,3.5481,79.6098,,Complete curve; high efficacy,-5.45,2.0479,0.9997,83.2489,3.6391,1.1,0 0 0 0,81.9432,,3.3342,13.5345,66.2902,81.9432,QC'd by DPISMR
118,14739739,834473,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000538378-01,,Activator,10,73.3278,,Partial curve; partial efficacy,-5,3.5722,0.9988,74.2874,0.9596,2.2,0 0 0 0,73.0972,,2.2866,-0.562,14.4503,73.0972,QC'd by DPISMR
119,14740097,2984273,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000531892-01,,Activator,10,70.847,,Partial curve; partial efficacy,-5,4.9549,0.9818,69.1113,-1.7357,2.2,0 0 0 0,69.0125,,-7.2798,4.1007,6.6277,69.0125,QC'd by DPISMR
120,14740725,3688563,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000556935-01,,Activator,12.5893,242.873,,Partial curve; high efficacy,-4.9,2.0937,0.9985,251.643,8.7705,2.1,0 0 0 0,223.088,,3.8257,15.5797,58.4646,223.088,QC'd by InterBioScreen
121,14742504,135444858,Active,86,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000554044-01,,Activator,1.7783,99.7515,,Complete curve; high efficacy,-5.75,4.9549,0.9944,91.2059,-8.5456,1.1,0 0 0 0,86.1711,,-9.307,10.6434,95.6037,86.1711,QC'd by DPISMR
122,14742726,5142573,Active,49,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000559464-01,,Activator,3.5481,183.44,,Partial curve; high efficacy,-5.45,3.2475,1,185.058,1.6178,2.1,0 0 0 1,4.1075,,1.4114,8.56,163.191,4.1075,QC'd by DPISMR
123,14744307,606080,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000564880-01,,Activator,17.7828,85.712,,Partial curve; high efficacy,-4.75,4.9549,0.9999,90.4769,4.765,2.1,0 0 0 0,86.6637,,5.1923,4.3133,5.3135,86.6637,QC'd by DPISMR
124,14744405,2471449,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000565211-01,,Activator,14.1254,61.5057,,Partial curve; partial efficacy,-4.85,4.5045,0.9995,67.9511,6.4454,2.2,0 0 0 0,66.6123,,7.1693,5.5205,8.3702,66.6123,QC'd by DPISMR
125,14745739,4403355,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000566245-01,,Activator,11.2202,236.061,,Partial curve; high efficacy,-4.95,4.095,0.9997,239.576,3.5145,2.1,0 0 0 0,236.268,,6.1616,1.9666,26.9313,236.268,QC'd by DPISMR
126,14746106,2877257,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000533431-01,,Activator,3.1623,119.475,,Partial curve; high efficacy,-5.5,3.2475,1,124.954,5.4788,2.1,0 0 0 1,-4.1059,,5.4837,12.1835,115.059,-4.1059,QC'd by DPISMR
127,14746238,135422608,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000530589-01,,Activator,10,144.464,,Partial curve; high efficacy,-5,2.4729,0.9997,147.91,3.446,2.1,0 0 0 0,140.867,,4.6335,3.0251,40.5672,140.867,QC'd by DPISMR
128,14746281,135446674,Active,89,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000530401-01,,Activator,2.5119,159.814,,Complete curve; high efficacy,-5.6,4.9549,0.9798,156.529,-3.2846,1.1,0 0 0 0,142.478,,2.7955,-2.7371,170.511,142.478,QC'd by DPISMR
129,14746552,2345373,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000564387-01,,Activator,10,143.24,,Partial curve; high efficacy,-5,4.9549,0.9987,136.151,-7.0888,2.1,0 0 0 0,135.88,,-10.1671,-4.2205,9.7986,135.88,QC'd by Enamine
130,14746622,9552020,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000568526-01,,Activator,3.5481,143.487,,Partial curve; high efficacy,-5.45,2.8473,1,144.709,1.2219,2.1,0 0 0 1,0.2159,,1.4882,9.3959,123.683,0.2159,QC'd by DPISMR
131,14747119,135512438,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000564328-01,,Activator,10,115.412,,Partial curve; high efficacy,-5,1.7885,0.9988,117.46,2.0479,2.1,0 0 0 0,105.251,,3.8798,2.8572,39.7793,105.251,QC'd by DPISMR
132,16952464,2404883,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000571075-01,,Activator,12.5893,60.6565,,Partial curve; partial efficacy,-4.9,2.3531,0.9889,67.7574,7.1009,2.2,0 0 0 0,61.9527,,3.9712,10.8976,17.0459,61.9527,QC'd by DPISMR
133,16952515,11834398,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000565250-01,,Activator,3.1623,92.6205,,Partial curve; high efficacy,-5.5,3.0654,0.9999,95.7152,3.0947,2.1,0 0 0 1,-10.3182,,2.6457,9.3228,86.6985,-10.3182,QC'd by DPISMR
134,16952778,2133292,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000536031-01,,Activator,3.9811,164.628,,Partial curve; high efficacy,-5.4,3.2475,1,166.685,2.0568,2.1,0 0 0 1,1.8208,,2.4787,6.3583,139.602,1.8208,QC'd by Enamine
135,16952782,2371253,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000536463-01,,Activator,3.5481,97.0333,,Partial curve; high efficacy,-5.45,2.8473,1,98.2292,1.1959,2.1,0 0 0 1,-6.8815,,0.9154,6.6674,83.9565,-6.8815,QC'd by Enamine
136,16952960,3205780,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000123087-01,,Activator,7.9433,65.9277,,Partial curve; partial efficacy,-5.1,1.8851,0.9917,66.7549,0.8272,2.2,0 0 0 0,61.8101,,4.2085,0.0821,27.4732,61.8101,QC'd by DPISMR
137,16953107,798022,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000525957-01,,Activator,8.9125,70.2902,,Partial curve; high efficacy,-5.05,3.5117,0.9987,92.8845,22.5943,2.1,0 0 0 0,92.1473,,24.3132,21.7701,40.0914,92.1473,QC'd by DPISMR
138,16953114,135501967,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000523207-01,,Activator,3.1623,80.6455,,Partial curve; partial efficacy,-5.5,1.6259,0.9999,67.5689,-13.0765,2.2,0 0 0 0,65.6321,,-11.1641,2.4971,48.7606,65.6321,QC'd by DPISMR
139,16953203,2373994,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000535937-01,,Activator,14.1254,76.1537,,Partial curve; high efficacy,-4.85,3.2975,0.9218,91.6537,15.5,2.1,0 0 0 0,87.2893,,8.6223,30.903,20.9619,87.2893,QC'd by DPISMR
140,16953274,2439838,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000570196-01,,Activator,3.5481,179.721,,Partial curve; high efficacy,-5.45,2.5884,1,178.03,-1.6911,2.1,0 0 0 1,4.0446,,-1.4092,10.6843,147.62,4.0446,QC'd by DPISMR
141,16953673,4240685,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000571496-01,,Activator,22.3872,112.028,,Partial curve; high efficacy,-4.65,4.9549,0.9995,126.028,14,2.1,0 0 0 0,111.727,,13.856,15.3326,12.8355,111.727,QC'd by DPISMR
142,16953734,2508299,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000568606-01,,Activator,3.5481,126.341,,Partial curve; high efficacy,-5.45,3.5117,1,130.894,4.5531,2.1,0 0 0 1,11.0061,,4.0956,8.4433,117.923,11.0061,QC'd by DPISMR
143,17385668,2469982,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000567178-01,,Activator,12.5893,106.312,,Partial curve; high efficacy,-4.9,4.5045,0.9986,111.134,4.8222,2.1,0 0 0 0,109.6,,2.4389,7.0897,10.9023,109.6,QC'd by Enamine
144,17385711,5689963,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000565663-01,,Activator,6.3096,246.9,,Partial curve; high efficacy,-5.2,1.8265,0.9974,233.331,-13.5688,2.1,0 0 0 0,216.047,,-11.3073,-3.6889,121.279,216.047,QC'd by DPISMR
145,17386274,135490280,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000541069-01,,Activator,10,238.537,,Partial curve; high efficacy,-5,3.5722,1,231.645,-6.8922,2.1,0 0 0 0,228.447,,-7.7115,-6.7911,36.3824,228.447,QC'd by Specs
146,17386385,4026064,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000538144-01,,Activator,10,68.7279,,Partial curve; partial efficacy,-5,3.132,0.9992,71.4072,2.6793,2.2,0 0 0 0,69.8969,,3.8204,1.6902,17.2555,69.8969,QC'd by DPISMR
147,17386441,4105359,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000538652-01,,Activator,22.3872,60.8444,,Partial curve; partial efficacy,-4.65,4.9549,0.9932,68.3444,7.5,2.2,0 0 0 0,60.3827,,10.6055,5.4045,7.1102,60.3827,QC'd by DPISMR
148,17386654,7314659,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000537593-01,,Activator,22.3872,75.7605,,Partial curve; partial efficacy,-4.65,4.9549,0.9973,82.3904,6.63,2.2,0 0 0 0,72.656,,5.2555,8.8674,5.4541,72.656,QC'd by Specs
149,17386786,6876357,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000324649-01,,Activator,10,68.7951,,Partial curve; partial efficacy,-5,2.4064,0.9999,66.9035,-1.8916,2.2,0 0 0 0,62.9203,,-1.9997,-1.5251,16.9559,62.9203,QC'd by Specs
150,17387315,6872889,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000545060-01,,Activator,11.2202,105.271,,Partial curve; high efficacy,-4.95,4.095,0.9931,115.129,9.8579,2.1,0 0 0 0,114.215,,14.9618,4.6836,20.2201,114.215,QC'd by Specs
151,17387509,135403586,Active,63,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000541221-01,,Activator,3.1623,69.3556,,Complete curve; partial efficacy,-5.5,4.9549,0.9862,68.9941,-0.3615,1.2,0 0 0 0,67.3294,,4.8454,-5.1339,68.8823,67.3294,QC'd by DPISMR
152,17388357,838383,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000539162-01,,Activator,11.2202,128.13,,Partial curve; high efficacy,-4.95,4.095,0.9963,126.729,-1.4011,2.1,0 0 0 0,124.979,,-5.5175,3.5199,11.0166,124.979,QC'd by DPISMR
153,17401785,135510946,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000551780-01,,Activator,12.5893,83.9742,,Partial curve; high efficacy,-4.9,4.5045,0.9925,85.7256,1.7514,2.1,0 0 0 0,84.542,,-2.5341,6.138,6.3156,84.542,QC'd by InterBioScreen
154,17402177,1483132,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000325814-01,,Activator,8.9125,111.344,,Partial curve; high efficacy,-5.05,2.0479,0.9991,116.002,4.6582,2.1,0 0 0 0,108.616,,5.8421,5.1003,45.0083,108.616,QC'd by Key Organics Ltd.
155,17402986,3478721,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000543042-01,,Activator,10,77.2548,,Partial curve; partial efficacy,-5,4.9549,0.9998,74.4422,-2.8126,2.2,0 0 0 0,74.3802,,-3.7497,-2.4952,6.0196,74.3802,QC'd by Key Organics Ltd.
156,17403111,1473245,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000327546-01,,Activator,10,139.026,,Partial curve; high efficacy,-5,4.4495,0.9994,140.381,1.3554,2.1,0 0 0 0,139.267,,3.0571,-0.6191,20.7848,139.267,QC'd by Key Organics Ltd.
157,17406847,6876815,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000546103-01,,Activator,15.8489,207.094,,Partial curve; high efficacy,-4.8,4.9549,0.9998,220.316,13.2223,2.1,0 0 0 0,214.733,,11.3131,14.1573,16.114,214.733,QC'd by Specs
158,17406935,6873313,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000537067-01,,Activator,12.5893,72.5198,,Partial curve; partial efficacy,-4.9,2.0937,0.9978,72.221,-0.2987,2.2,0 0 0 0,63.5789,,-1.8776,2.181,14.3054,63.5789,QC'd by Specs
159,17409121,3157950,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000550775-01,,Activator,8.9125,81.781,,Partial curve; partial efficacy,-5.05,0.8,0.9636,79.0868,-2.6943,2.2,0 0 0 0,60.2655,,-0.8982,17.7321,28.3915,60.2655,QC'd by DPISMR
160,17409134,716780,Active,67,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000551955-01,,Activator,3.9811,601.173,,Partial curve; high efficacy,-5.4,4.5045,1,603.887,2.7143,2.1,0 0 0 1,-3.9923,,4.1343,5.9403,546.999,-3.9923,QC'd by DPISMR
161,17409212,624107,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000551974-01,,Activator,11.2202,95.9274,,Partial curve; high efficacy,-4.95,4.5045,0.9966,107.427,11.5,2.1,0 0 0 0,106.575,,8.2165,14.8647,19.0205,106.575,QC'd by DPISMR
162,17409921,1477665,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000627870-01,,Activator,3.5481,97.0637,,Partial curve; high efficacy,-5.45,3.2475,1,98.531,1.4673,2.1,0 0 0 1,-10.2011,,1.5609,5.2109,86.888,-10.2011,QC'd by DPISMR
163,17410498,1490269,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000326703-01,,Activator,12.5893,147.487,,Partial curve; high efficacy,-4.9,4.095,1,143.709,-3.7773,2.1,0 0 0 0,140.891,,-3.7094,-4.3582,5.631,140.891,QC'd by Key Organics Ltd.
164,17411622,5405847,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000576094-01,,Activator,12.5893,83.7902,,Partial curve; high efficacy,-4.9,4.5045,0.9994,92.1044,8.3142,2.1,0 0 0 0,90.8327,,7.1159,9.4852,12.6605,90.8327,QC'd by ChemBridge
165,17412337,135446701,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000579125-01,,Activator,5.6234,65.3959,,Partial curve; partial efficacy,-5.25,1.8265,0.9935,62.5027,-2.8932,2.2,0 0 0 0,60.2967,,0.3305,-1.4335,34.4132,60.2967,QC'd by DPISMR
166,17412677,801955,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000575816-01,,Activator,15.8489,102.074,,Partial curve; high efficacy,-4.8,4.095,0.9996,104.264,2.1907,2.1,0 0 0 0,99.2994,,3.5274,1.2068,5.1064,99.2994,QC'd by DPISMR
167,17414244,2204903,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000580192-01,,Activator,10,76.6828,,Partial curve; partial efficacy,-5,3.99,0.9706,72.9416,-3.7412,2.2,0 0 0 0,72.1573,,4.0285,-11.451,8.6166,72.1573,QC'd by ChemBridge
168,17415547,2896669,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000573369-01,,Activator,2.2387,85.9546,,Partial curve; high efficacy,-5.65,4.5045,1,84.0538,-1.9008,2.1,1 0 0 1,19.191,,33.4694,5.3712,83.3867,19.191,QC'd by ChemBridge
